zip,lat,lon
70001,29.98272,-90.16881
70002,30.0102,-90.16241
70003,29.99874,-90.21418
70005,30.00024,-90.13422
70006,30.01393,-90.19171
70030,29.81635,-90.43526
70031,29.94401,-90.29666
70032,29.95128,-89.9958
70036,29.69855,-90.12667
70037,29.78669,-90.01523
70038,29.33105,-89.4007
70039,29.88274,-90.37925
70040,29.75806,-89.92327
70041,29.33194,-89.46978
70043,29.9571,-89.96481
70047,29.96686,-90.36552
70049,30.03062,-90.55911
70050,29.38351,-89.59601
70051,30.07356,-90.63999
70052,30.07103,-90.68731
70053,29.91456,-90.05318
70056,29.88848,-90.03028
70057,29.95949,-90.45897
70058,29.8701,-90.06708
70062,29.98924,-90.25579
70065,30.02767,-90.25405
70067,29.72008,-90.10383
70068,30.14113,-90.43502
70070,29.83302,-90.3052
70071,30.05123,-90.70291
70072,29.83012,-90.12724
70075,29.93158,-89.92081
70076,30.04945,-90.63678
70079,30.00172,-90.41218
70080,29.8743,-90.43227
70082,29.5658,-89.75677
70083,29.52342,-89.85211
70084,30.07242,-90.57251
70085,29.81629,-89.76127
70086,30.02628,-90.88198
70087,29.98092,-90.31264
70090,29.96725,-90.6934
70091,29.17723,-89.23204
70092,29.90026,-89.89598
70094,29.91162,-90.20876
70112,29.95608,-90.07733
70113,29.9422,-90.08382
70114,29.93704,-90.0321
70115,29.92375,-90.10219
70116,29.96697,-90.06448
70117,29.9685,-90.03004
70118,29.9451,-90.1257
70119,29.97567,-90.08729
70121,29.9608,-90.15881
70122,30.00835,-90.06467
70123,29.951,-90.20501
70124,30.00747,-90.10378
70125,29.95202,-90.10338
70126,30.01948,-90.01739
70127,30.02966,-89.9761
70128,30.04896,-89.95398
70129,30.08239,-89.81617
70130,29.93671,-90.06949
70131,29.9081,-89.96044
70139,29.95023,-90.071
70148,30.0287,-90.06753
70163,29.94998,-90.07546
70301,29.81431,-90.7411
70310,29.79048,-90.80301
70339,29.92987,-91.18357
70340,29.66974,-91.1043
70341,30.02579,-91.08267
70342,29.69486,-91.23772
70343,29.55308,-90.56402
70344,29.39711,-90.63777
70345,29.51815,-90.23763
70346,30.10774,-91.02061
70352,29.68561,-90.94486
70353,29.36598,-90.70554
70354,29.43136,-90.34336
70355,29.69491,-90.42916
70356,29.64142,-90.95953
70357,29.28451,-90.17463
70358,29.21367,-90.0306
70359,29.68649,-90.77859
70360,29.58396,-90.81001
70363,29.51516,-90.70404
70364,29.63419,-90.68752
70372,29.78249,-90.9889
70373,29.61335,-90.31919
70374,29.59924,-90.50319
70375,29.69491,-90.53257
70377,29.45808,-90.51361
70380,29.71944,-91.12634
70390,29.89068,-91.03616
70391,29.99516,-91.06029
70392,29.69847,-91.32164
70393,29.9959,-90.99897
70394,29.69448,-90.61399
70395,29.69309,-90.8513
70397,29.38444,-90.823
70401,30.5281,-90.45472
70402,30.51652,-90.46932
70403,30.47989,-90.48639
70420,30.48767,-89.95907
70422,30.73699,-90.491
70426,30.93142,-89.85807
70427,30.74587,-89.9125
70431,30.61211,-89.97215
70433,30.46184,-90.13796
70435,30.55955,-90.101
70436,30.83057,-90.53315
70437,30.60909,-90.20928
70438,30.84139,-90.11186
70441,30.85987,-90.7489
70442,30.70307,-90.33433
70443,30.62885,-90.54257
70444,30.90833,-90.48707
70445,30.36352,-89.91265
70446,30.63612,-90.35159
70447,30.42144,-90.20257
70448,30.36278,-90.03943
70449,30.26363,-90.66345
70450,30.93667,-90.26755
70451,30.54964,-90.48111
70452,30.41424,-89.76048
70453,30.69385,-90.76918
70454,30.39525,-90.3682
70455,30.52438,-90.31883
70456,30.79332,-90.50702
70457,30.52743,-90.11332
70458,30.25864,-89.79441
70460,30.29925,-89.83455
70461,30.2326,-89.70931
70462,30.3656,-90.58368
70463,30.6551,-89.90162
70464,30.54416,-89.89221
70465,30.87577,-90.51384
70466,30.5685,-90.50195
70471,30.407,-90.06346
70501,30.2391,-91.99122
70503,30.17353,-92.05901
70506,30.19586,-92.08075
70507,30.28293,-92.02825
70508,30.15627,-92.02913
70510,29.89493,-92.19569
70512,30.41333,-91.92337
70513,29.90272,-91.90106
70514,29.8452,-91.55301
70515,30.44843,-92.57154
70516,30.3674,-92.30289
70517,30.28421,-91.79615
70518,30.13503,-91.92922
70519,30.08178,-91.90705
70520,30.33265,-92.03619
70522,29.74949,-91.43287
70523,29.87383,-91.52956
70524,30.55737,-92.31859
70525,30.40765,-92.21761
70526,30.21051,-92.37951
70528,29.89766,-91.96692
70529,30.19593,-92.16327
70531,30.23101,-92.49678
70532,30.4705,-92.6993
70533,29.90439,-92.03536
70534,30.16564,-92.45499
70535,30.47999,-92.42367
70537,30.25747,-92.56642
70538,29.74051,-91.54092
70541,30.42062,-92.0426
70542,30.00442,-92.5886
70543,30.33532,-92.5014
70544,29.9059,-91.6575
70546,30.26756,-92.66747
70548,29.79733,-92.41875
70549,30.04988,-92.83139
70550,30.5157,-92.18966
70551,30.46675,-91.98028
70552,30.0617,-91.66641
70554,30.63633,-92.48885
70555,30.08188,-92.14123
70556,30.19072,-92.58325
70558,30.10042,-92.07573
70559,30.12876,-92.50903
70560,29.93965,-91.8642
70563,30.02454,-91.73053
70570,30.5315,-92.10852
70575,29.94892,-92.15808
70576,30.78097,-92.41826
70577,30.54848,-91.92018
70578,30.2291,-92.26261
70580,30.67551,-92.4284
70581,30.25496,-92.73588
70582,30.15961,-91.7854
70583,30.25846,-92.12204
70584,30.38856,-92.10193
70585,30.87832,-92.4077
70586,30.74504,-92.34151
70589,30.68584,-92.04098
70591,30.25604,-92.8397
70592,30.08024,-92.01338
70601,30.22627,-93.21525
70605,30.13048,-93.27418
70607,30.04982,-93.20606
70609,30.17907,-93.21482
70611,30.34594,-93.20156
70615,30.25609,-93.12346
70629,30.23107,-93.21864
70630,30.02723,-93.04966
70631,29.86692,-93.55404
70632,29.86747,-92.87987
70633,30.42762,-93.3925
70634,30.80142,-93.24309
70637,30.70508,-92.97207
70638,30.84948,-92.78436
70639,30.98235,-93.49793
70640,30.36587,-92.91652
70643,29.73649,-92.7939
70644,30.79078,-92.94924
70645,29.96154,-93.40854
70646,30.10767,-92.92938
70647,30.24752,-93.01605
70648,30.50568,-92.88387
70650,30.23376,-92.92067
70651,30.54333,-92.95127
70652,30.60547,-93.24646
70653,30.66744,-93.55994
70654,30.69212,-92.88075
70655,30.63022,-92.70234
70656,30.91647,-92.94272
70657,30.5004,-93.14279
70658,30.52324,-93.03297
70659,30.92161,-93.284
70660,30.575,-93.44478
70661,30.36683,-93.64833
70662,30.80072,-92.99834
70663,30.2772,-93.39086
70665,30.12756,-93.44555
70668,30.17678,-93.60488
70669,30.24216,-93.27731
70706,30.61453,-90.90086
70710,30.3559,-91.26773
70711,30.53065,-90.60229
70712,30.96574,-91.58573
70714,30.58634,-91.12812
70715,30.81204,-91.66262
70719,30.37734,-91.29077
70721,30.21639,-91.09301
70722,30.84337,-90.93244
70723,30.06379,-90.84111
70725,30.13652,-90.97255
70726,30.42994,-90.90361
70729,30.58891,-91.34671
70730,30.81588,-91.10869
70732,30.6322,-91.60678
70733,30.30437,-90.79487
70734,30.20812,-91.00095
70736,30.63748,-91.33915
70737,30.22587,-90.92271
70739,30.60107,-90.9684
70740,30.33777,-91.43311
70743,30.02655,-90.7729
70744,30.56173,-90.67689
70747,30.87291,-91.68245
70748,30.8164,-91.20613
70749,30.6326,-91.40985
70750,30.46433,-91.7865
70752,30.57986,-91.41915
70753,30.7999,-91.72106
70754,30.40542,-90.74462
70755,30.59473,-91.52981
70756,30.53256,-91.64705
70757,30.37204,-91.53468
70759,30.71346,-91.58762
70760,30.69839,-91.48085
70761,30.97429,-91.03129
70762,30.57843,-91.46695
70763,30.04929,-90.73736
70764,30.22505,-91.30656
70767,30.47737,-91.32787
70769,30.30802,-90.93967
70770,30.65134,-90.99316
70772,30.43748,-91.46484
70773,30.59678,-91.37333
70774,30.22741,-90.78815
70775,30.85982,-91.36847
70776,30.26051,-91.08923
70777,30.73898,-91.07319
70778,30.16085,-90.81777
70780,30.29538,-91.16993
70782,30.94378,-91.51856
70783,30.67032,-91.4087
70785,30.55621,-90.81858
70786,30.58236,-90.95429
70787,30.9629,-91.44342
70788,30.13618,-91.17939
70789,30.92973,-91.07109
70791,30.65013,-91.15734
70801,30.44954,-91.18608
70802,30.44691,-91.17554
70803,30.41165,-91.17783
70805,30.48831,-91.15951
70806,30.44879,-91.1247
70807,30.5425,-91.2068
70808,30.4057,-91.14236
70809,30.39408,-91.07063
70810,30.34637,-91.07998
70811,30.53122,-91.11617
70812,30.50018,-91.11051
70813,30.52777,-91.19742
70814,30.48502,-91.06164
70815,30.45537,-91.06648
70816,30.4288,-91.02144
70817,30.37558,-90.98026
70818,30.54233,-91.05006
70819,30.47133,-91.00748
70820,30.36812,-91.18279
70825,30.45197,-91.18776
70836,30.38758,-91.08357
71001,32.59188,-92.90028
71002,32.11675,-93.116
71003,32.62969,-93.02787
71004,32.74403,-93.85843
71006,32.72871,-93.63511
71007,32.36854,-94.00502
71008,32.33318,-92.96396
71009,32.57793,-93.89185
71016,32.22899,-93.10818
71018,32.82178,-93.42972
71019,32.03951,-93.30701
71021,32.96721,-93.44597
71023,32.4662,-93.40797
71024,32.47897,-93.20336
71027,32.24953,-93.68698
71028,32.48961,-93.07315
71029,32.83733,-93.83446
71030,32.19267,-93.78932
71031,32.01097,-92.89372
71032,32.09383,-93.79247
71033,32.44121,-94.00364
71034,32.18442,-93.30553
71037,32.56359,-93.52804
71038,32.94372,-93.0699
71039,32.4265,-93.29064
71040,32.78564,-93.01238
71043,32.88789,-93.88906
71044,32.96662,-93.88083
71045,32.3461,-93.16595
71046,32.16647,-93.94589
71047,32.29972,-93.91673
71048,32.83597,-92.85071
71049,32.01603,-93.96663
71051,32.3417,-93.49639
71052,32.01814,-93.66243
71055,32.67335,-93.29713
71060,32.63933,-93.987
71061,32.75342,-93.97742
71063,31.91051,-93.51569
71064,32.91356,-93.68761
71065,31.81028,-93.49957
71066,31.87478,-93.19829
71067,32.59836,-93.49118
71068,32.28464,-93.32186
71069,32.9726,-93.9887
71070,32.08629,-92.99618
71071,32.91747,-93.45099
71072,32.9373,-93.31141
71073,32.5241,-93.30547
71075,32.99349,-93.49199
71078,32.27721,-93.7976
71079,32.94811,-92.81941
71082,32.84389,-93.97763
71101,32.5062,-93.74822
71103,32.49154,-93.7717
71104,32.48525,-93.73171
71105,32.45512,-93.71012
71106,32.38507,-93.73558
71107,32.59509,-93.85909
71108,32.44236,-93.78881
71109,32.46859,-93.814
71110,32.50289,-93.63027
71111,32.57904,-93.70379
71112,32.44373,-93.63874
71115,32.26472,-93.56247
71118,32.39262,-93.80498
71119,32.48542,-93.92296
71129,32.38697,-93.92685
71201,32.53915,-92.1069
71202,32.39549,-92.05663
71203,32.58398,-92.01351
71209,32.53036,-92.07206
71212,32.52725,-92.0734
71218,32.35081,-91.78739
71219,32.32344,-91.6842
71220,32.8622,-91.91236
71222,32.82859,-92.65918
71223,32.90084,-91.67443
71225,32.50784,-92.3477
71226,32.24729,-92.44234
71227,32.52866,-92.48353
71229,32.6374,-91.89251
71230,32.2403,-91.59269
71232,32.41554,-91.493
71233,32.32509,-90.93177
71234,32.64306,-92.33954
71235,32.68988,-92.6726
71237,32.58413,-91.48024
71238,32.36716,-92.38139
71241,32.77107,-92.36531
71242,32.79223,-91.41291
71243,31.96055,-91.80745
71245,32.52697,-92.7145
71247,32.27255,-92.72077
71250,32.95983,-91.57327
71251,32.21891,-92.67162
71253,32.99597,-91.31576
71254,32.79429,-91.23914
71256,32.94852,-92.71471
71259,32.2713,-91.84558
71260,32.90615,-92.23793
71261,32.77802,-91.69515
71263,32.87497,-91.428
71264,32.6029,-91.7734
71266,32.70359,-91.48362
71268,32.34696,-92.74418
71269,32.44592,-91.78718
71270,32.49378,-92.64139
71272,32.52928,-92.6517
71275,32.51276,-92.81991
71276,32.57727,-91.16277
71277,32.94902,-92.55554
71279,32.48667,-91.85671
71280,32.72344,-92.10389
71282,32.35662,-91.20042
71286,32.65244,-91.23397
71291,32.56977,-92.18277
71292,32.40147,-92.21569
71295,32.14565,-91.70795
71301,31.27446,-92.46864
71302,31.2053,-92.36667
71303,31.28081,-92.54308
71316,31.27665,-91.76231
71320,31.09114,-91.76985
71322,30.86731,-92.15188
71323,31.26656,-92.21037
71325,31.01153,-92.32434
71326,31.77363,-91.58702
71327,30.97895,-92.03863
71328,31.35276,-92.19097
71330,31.11002,-92.24145
71331,31.2578,-92.07969
71333,30.90315,-92.0754
71334,31.66978,-91.56864
71336,32.02126,-91.5935
71339,31.0058,-91.93637
71340,31.7553,-91.80696
71341,31.05969,-92.16267
71342,31.60042,-92.1403
71343,31.51117,-91.90723
71345,30.72867,-91.97531
71346,31.11686,-92.38446
71350,31.06871,-92.06053
71351,31.17227,-91.9604
71353,30.67949,-91.79664
71354,31.38364,-91.73548
71355,31.05257,-91.88531
71356,30.83423,-92.02988
71357,32.1084,-91.29717
71358,30.72631,-91.87553
71359,31.32468,-92.4264
71360,31.31597,-92.34593
71362,30.88839,-91.95225
71366,31.95051,-91.35591
71367,30.88784,-92.29426
71368,31.86392,-91.68494
71369,30.92949,-91.85605
71371,31.67542,-92.2587
71373,31.35934,-91.58607
71375,31.84632,-91.47226
71378,31.95481,-91.71211
71401,31.79477,-91.94461
71403,31.21047,-93.44061
71404,31.75404,-92.75257
71405,31.40971,-92.39771
71406,31.73425,-93.50536
71407,31.51837,-92.48402
71409,31.31287,-92.69954
71410,31.96419,-92.77125
71411,31.90466,-93.08894
71414,31.82593,-93.02515
71415,32.0253,-92.14241
71416,31.53875,-92.89558
71417,31.51611,-92.65361
71418,32.13405,-92.04589
71419,31.80188,-93.72614
71422,32.07653,-92.65767
71423,31.60012,-92.56341
71424,31.17976,-92.69207
71425,31.89017,-91.89786
71426,31.49182,-93.46165
71427,31.38879,-92.89388
71428,31.60921,-93.08855
71429,31.39843,-93.43218
71430,31.06764,-92.53135
71432,31.75368,-92.47435
71433,31.00208,-92.64803
71434,31.44618,-92.944
71435,32.02456,-92.1539
71438,31.10092,-92.87511
71439,31.33707,-93.36597
71441,31.94706,-92.13805
71446,31.15585,-93.17187
71447,31.43202,-92.8073
71449,31.5153,-93.54383
71450,31.78137,-93.40367
71452,31.58021,-92.9414
71454,31.69334,-92.86131
71455,31.40125,-92.98074
71456,31.63534,-92.97429
71457,31.74045,-93.09375
71459,31.07854,-93.21723
71461,31.12099,-93.29775
71462,31.66625,-93.7324
71463,30.80854,-92.64853
71465,31.86499,-92.19408
71466,31.21593,-92.74886
71467,31.55789,-92.39338
71468,31.48086,-93.14518
71469,31.67755,-93.2671
71472,31.19834,-92.79216
71473,32.06989,-92.42748
71474,31.27724,-93.01394
71475,31.20123,-93.12461
71479,31.85129,-92.36106
71480,31.86661,-92.28415
71483,31.89482,-92.66373
71485,31.17811,-92.53186
71486,31.62679,-93.65876
71497,31.74902,-93.09795
